
========== Fixed Pool ==========
VM ID	TYPE	Price($/year)	Total Allocation Time	Total Incurred Cost($/year)
Total cost for fixed pool in $ per year: 0.0

========== Floating Pool ==========
VM ID	TYPE	Price($/hour)	Total Allocation Time	Total Incurred Cost($)
522	ONDEMAND	0.07	6864	0.14
533	ONDEMAND	0.07	6864	0.14
534	ONDEMAND	0.07	6864	0.14
548	ONDEMAND	0.07	6864	0.14
585	ONDEMAND	0.07	6864	0.14
588	ONDEMAND	0.07	6864	0.14
595	ONDEMAND	0.07	6864	0.14
599	ONDEMAND	0.07	6864	0.14
608	ONDEMAND	0.07	6864	0.14
618	ONDEMAND	0.07	6640	0.14
628	ONDEMAND	0.07	6640	0.14
639	ONDEMAND	0.07	481	0.07
640	ONDEMAND	0.07	481	0.07
641	ONDEMAND	0.07	481	0.07
642	ONDEMAND	0.07	481	0.07
643	ONDEMAND	0.07	481	0.07
644	ONDEMAND	0.07	481	0.07
645	ONDEMAND	0.07	481	0.07
646	ONDEMAND	0.07	481	0.07
647	ONDEMAND	0.07	481	0.07
648	ONDEMAND	0.07	481	0.07
649	ONDEMAND	0.07	481	0.07
650	ONDEMAND	0.07	481	0.07
651	ONDEMAND	0.07	481	0.07
652	ONDEMAND	0.07	481	0.07
653	ONDEMAND	0.07	481	0.07
654	ONDEMAND	0.07	481	0.07
655	ONDEMAND	0.07	481	0.07
656	ONDEMAND	0.07	481	0.07
657	ONDEMAND	0.07	481	0.07
658	ONDEMAND	0.07	481	0.07
659	ONDEMAND	0.07	481	0.07
660	ONDEMAND	0.07	481	0.07
661	ONDEMAND	0.07	481	0.07
662	ONDEMAND	0.07	481	0.07
663	ONDEMAND	0.07	481	0.07
664	ONDEMAND	0.07	481	0.07
665	ONDEMAND	0.07	481	0.07
666	ONDEMAND	0.07	481	0.07
667	ONDEMAND	0.07	481	0.07
668	ONDEMAND	0.07	481	0.07
669	ONDEMAND	0.07	481	0.07
670	ONDEMAND	0.07	481	0.07
671	ONDEMAND	0.07	481	0.07
672	ONDEMAND	0.07	481	0.07
673	ONDEMAND	0.07	481	0.07
674	ONDEMAND	0.07	481	0.07
675	ONDEMAND	0.07	481	0.07
676	ONDEMAND	0.07	481	0.07
677	ONDEMAND	0.07	481	0.07
678	ONDEMAND	0.07	481	0.07
679	ONDEMAND	0.07	481	0.07
680	ONDEMAND	0.07	481	0.07
681	ONDEMAND	0.07	481	0.07
682	ONDEMAND	0.07	481	0.07
683	ONDEMAND	0.07	481	0.07
684	ONDEMAND	0.07	481	0.07
685	ONDEMAND	0.07	481	0.07
686	ONDEMAND	0.07	481	0.07
687	ONDEMAND	0.07	481	0.07
688	ONDEMAND	0.07	481	0.07
689	ONDEMAND	0.07	481	0.07
690	ONDEMAND	0.07	481	0.07
691	ONDEMAND	0.07	481	0.07
692	ONDEMAND	0.07	481	0.07
693	ONDEMAND	0.07	481	0.07
694	ONDEMAND	0.07	481	0.07
695	ONDEMAND	0.07	481	0.07
696	ONDEMAND	0.07	481	0.07
697	ONDEMAND	0.07	481	0.07
698	ONDEMAND	0.07	481	0.07
699	ONDEMAND	0.07	481	0.07
700	ONDEMAND	0.07	481	0.07
701	ONDEMAND	0.07	481	0.07
702	ONDEMAND	0.07	481	0.07
703	ONDEMAND	0.07	481	0.07
704	ONDEMAND	0.07	481	0.07
705	ONDEMAND	0.07	481	0.07
706	ONDEMAND	0.07	481	0.07
707	ONDEMAND	0.07	481	0.07
708	ONDEMAND	0.07	481	0.07
709	ONDEMAND	0.07	481	0.07
710	ONDEMAND	0.07	481	0.07
711	ONDEMAND	0.07	481	0.07
712	ONDEMAND	0.07	481	0.07
713	ONDEMAND	0.07	481	0.07
714	ONDEMAND	0.07	481	0.07
715	ONDEMAND	0.07	481	0.07
716	ONDEMAND	0.07	481	0.07
717	ONDEMAND	0.07	481	0.07
718	ONDEMAND	0.07	481	0.07
719	ONDEMAND	0.07	481	0.07
720	ONDEMAND	0.07	481	0.07
721	ONDEMAND	0.07	481	0.07
722	ONDEMAND	0.07	481	0.07
723	ONDEMAND	0.07	481	0.07
724	ONDEMAND	0.07	481	0.07
725	ONDEMAND	0.07	481	0.07
726	ONDEMAND	0.07	481	0.07
727	ONDEMAND	0.07	481	0.07
728	ONDEMAND	0.07	481	0.07
729	ONDEMAND	0.07	481	0.07
730	ONDEMAND	0.07	481	0.07
731	ONDEMAND	0.07	481	0.07
732	ONDEMAND	0.07	481	0.07
733	ONDEMAND	0.07	481	0.07
734	ONDEMAND	0.07	481	0.07
735	ONDEMAND	0.07	481	0.07
736	ONDEMAND	0.07	481	0.07
737	ONDEMAND	0.07	481	0.07
738	ONDEMAND	0.07	481	0.07
739	ONDEMAND	0.07	481	0.07
740	ONDEMAND	0.07	481	0.07
741	ONDEMAND	0.07	481	0.07
742	ONDEMAND	0.07	481	0.07
743	ONDEMAND	0.07	481	0.07
744	ONDEMAND	0.07	481	0.07
745	ONDEMAND	0.07	481	0.07
746	ONDEMAND	0.07	481	0.07
747	ONDEMAND	0.07	481	0.07
748	ONDEMAND	0.07	481	0.07
749	ONDEMAND	0.07	481	0.07
750	ONDEMAND	0.07	481	0.07
751	ONDEMAND	0.07	481	0.07
752	ONDEMAND	0.07	481	0.07
753	ONDEMAND	0.07	481	0.07
754	ONDEMAND	0.07	481	0.07
755	ONDEMAND	0.07	481	0.07
756	ONDEMAND	0.07	481	0.07
757	ONDEMAND	0.07	481	0.07
758	ONDEMAND	0.07	481	0.07
759	ONDEMAND	0.07	481	0.07
760	ONDEMAND	0.07	481	0.07
761	ONDEMAND	0.07	481	0.07
762	ONDEMAND	0.07	481	0.07
763	ONDEMAND	0.07	481	0.07
764	ONDEMAND	0.07	481	0.07
765	ONDEMAND	0.07	481	0.07
766	ONDEMAND	0.07	481	0.07
767	ONDEMAND	0.07	481	0.07
768	ONDEMAND	0.07	481	0.07
769	ONDEMAND	0.07	481	0.07
770	ONDEMAND	0.07	481	0.07
771	ONDEMAND	0.07	481	0.07
772	ONDEMAND	0.07	481	0.07
773	ONDEMAND	0.07	481	0.07
774	ONDEMAND	0.07	481	0.07
775	ONDEMAND	0.07	481	0.07
776	ONDEMAND	0.07	481	0.07
777	ONDEMAND	0.07	481	0.07
778	ONDEMAND	0.07	481	0.07
779	ONDEMAND	0.07	481	0.07
780	ONDEMAND	0.07	481	0.07
781	ONDEMAND	0.07	481	0.07
